id,street,status,price,bedrooms,bathrooms,sq_ft,lat,lng
0,545 2nd Pl,pending,299727,4,1,1608,33.36944421,-112.1197147
1,320 Blake St,active,123081,5,3,3125,33.47675931,-112.1151215
2,740 2nd Pl,pending,172219,5,2,1208,33.46881136,-112.2287965
3,533 8th Rd,pending,277683,5,2,1431,33.58858496,-112.0877998
4,557 4th Cir,sold,284196,4,2,3173,33.51415334,-112.2835195
5,466 8th Dv,sold,115253,5,2,2890,33.45057359,-112.0939225
6,195 2nd Cir,pending,269910,5,2,2804,33.52960567,-111.8783297
7,408 3rd Trl,pending,224414,3,1,1804,33.4437882,-112.0294186
8,352 Walnut Vis,pending,176905,4,1,3369,33.48377238,-112.2077041
9,366 Mission Trl,active,116829,5,3,3307,33.41034889,-112.0633633
10,139 Turk Blvd,sold,255304,3,3,3509,33.47119803,-112.1732884
11,463 Walnut St,pending,201903,2,2,2098,33.40731153,-112.3295084
12,429 Euclid Vis,active,201432,4,3,2721,33.45948695,-112.3505876
13,494 8th Cir,active,237154,2,1,2814,33.48482515,-111.9698706
14,565 5th Blvd,active,188333,2,1,1030,33.59124016,-112.0149449
15,394 5th Way,active,158236,2,3,3065,33.43759944,-112.0435349
16,45 California St,active,289702,5,3,3718,33.38616655,-112.0400906
17,509 9th Ave,sold,296497,5,2,3063,33.49427814,-112.0906667
18,103 Turk Wl,active,153987,3,3,2725,33.41880267,-112.2534912
19,389 2nd Dv,sold,181554,2,2,2279,33.45170447,-112.20395
20,142 Bush Vis,active,197597,3,3,1270,33.41578332,-112.0180864
21,425 9th Ave,active,264962,2,2,1847,33.46911672,-112.2205272
22,648 Mission Way,sold,130570,4,2,2755,33.3708731,-112.1820513
23,551 California Trl,pending,136695,3,1,2359,33.47342672,-111.9653328
24,249 Post Cir,active,208519,5,1,1518,33.3710287,-112.1229202
25,419 Euclid Pl,pending,262785,4,3,2061,33.56481011,-112.1453578
26,654 6th Pl,pending,278803,5,2,2324,33.4651565,-112.3266001
27,727 6th Rd,pending,198164,2,1,2140,33.46125924,-111.9922714
28,195 7th Pl,active,128686,4,2,1255,33.54762207,-112.1279039
29,162 Pine Blvd,pending,274519,2,1,3989,33.53585597,-112.1606078
30,137 9th Cir,active,298793,3,3,2153,33.38697308,-112.2614487
31,799 Indiana Way,active,214294,2,3,3556,33.49057748,-112.052213
32,242 Texas Dv,sold,282527,2,1,2498,33.44388161,-112.33632
